id Site Lon_deg Lat_deg De_cm Dn_cm Dup_cm
1 CAND 239.566 35.939 2.1 -4.2 -0.1
2 CARH 239.569 35.888 1.1 -1.2 -0.1
3 CRBT 239.249 35.791 -0.3 0.0 -0.1
4 HOGS 239.521 35.866 -2.2 3.5 -0.9
5 LAND 239.526 35.900 -3.3 3.0 -1.1
6 LOWS 239.406 35.829 -1.1 0.2 -0.2
7 MASW 239.557 35.833 -1.8 3.4 -1.3
8 MIDA 239.541 35.921 2.1 -4.5 -0.9
9 MNMC 239.566 35.970 0.5 -3.6 -0.8
10 POMM 239.521 35.919 -3.6 0.6 -0.5
11 PKDB 239.458 35.945 -3.4 0.9 0.8
12 RNCH 239.475 35.900 -2.8 1.8 0.2
13 TBLP 239.639 35.917 2.6 -1.8 0.9
14 HUNT 239.598 35.880 3.5 -3.5 0.4
